Component,Attribute,DataType,ATP0,IAP0,P1,GTP0,SA_ICCMAX,SA_VRELMAX,SA_LMPD-1111,SA_LMPD-0000,SA_LMPD-0001,SA_LMPD-0100,SA_LMPD-0110,SA_LMPD-0111,SA_LMPD-1100,SA_LMPD-1000,SA_LMPD-1001,SA_LMPD-1101,SA_LMPD-0101,LPATP0,IA_PERF
NPU,IS_ENABLED,string,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false
MEDIA,IS_ENABLED,string,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false
LPATOM,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IA,IS_ENABLED,string,false,{IS_ENABLED_BY_PCPS@bool},true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
GT,IS_ENABLED,string,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
DE,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
AT,IS_ENABLED,string,{IS_ENABLED_BY_PCPS@bool},false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
QCLK,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
NCLK,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
IOCCLK,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
CCLK,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
SAREST,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
CCF,IS_ENABLED,string,{AT<<INDEX@string>>[0-4].+::IS_ENABLED@bool}.Any(e=>e.Value == true),{IA<<INDEX@string>>[0-4].+::IS_ENABLED@bool}.Any(e=>e.Value == true),true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
ATPCPS,IS_ENABLED,string,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
IAPCPS,IS_ENABLED,string,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
IPU,IS_ENABLED,string,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false
IPU,SA_ENABLED,string,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false
LPATOM,SA_ENABLED,string,false,false,true,false,true,true,true,false,false,false,false,false,true,true,true,true,false,true,"Utils.SWITCH({NA::PKG::C_PACKAGE_TYPE@string},(''MBL'', ''false''),(''DT'', ''true''))"
MEDIA,SA_ENABLED,string,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,true,true,false,false
NPU,SA_ENABLED,string,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,true,true,false,false
MVS,IS_ENABLED,string,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
