Component,Attribute,DataType,TJMAX,COLD,ROOM,TEMP_100,TVB,P1
SAREST,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
CCLK,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
IOCCLK,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
NCLK,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
QCLK,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
AT,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
ATSRAM,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
DE,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
DESRAM,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
GT,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
IA,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
LPATOM,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
LPATSRAM,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
MEDIA,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
MEDIASRAM,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
NPU,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
NPUSRAM,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
CCF,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
CCFSRAM,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
IPU,TTARGET,System.String,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
LPATOMb,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
