Component,Attribute,DataType,ATP0,IAP0,P1,GTP0,SA_LMPD-1111,SA_LMPD-0000,SA_LMPD-0001,SA_LMPD-0100,SA_LMPD-0110,SA_LMPD-0111,SA_LMPD-1100,SA_LMPD-1000,SA_LMPD-1001,SA_LMPD-1101,SA_LMPD-0101,IA_PERF
NPU,IS_ENABLED,string,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false
MEDIA,IS_ENABLED,string,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false
LPATOM,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
IA,IS_ENABLED,string,false,{IS_ENABLED_BY_PCPS@bool},true,false,false,false,false,false,false,false,false,false,false,false,false,true
GT,IS_ENABLED,string,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true
DE,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
AT,IS_ENABLED,string,{IS_ENABLED_BY_PCPS@bool},false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
QCLK,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
NCLK,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
IOCCLK,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
CCLK,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
SAREST,IS_ENABLED,string,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
ATPCPS,IS_ENABLED,string,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
IAPCPS,IS_ENABLED,string,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CCF,IS_ENABLED,string,{AT<<INDEX@string>>[0-4].+::IS_ENABLED@bool}.Any(e=>e.Value == true),{IA<<INDEX@string>>[0-4].+::IS_ENABLED@bool}.Any(e=>e.Value == true),true,false,false,false,false,false,false,false,false,false,false,false,false,true
IPU,IS_ENABLED,string,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false
NPU,SA_ENABLED,string,false,false,false,false,true,false,true,false,false,true,false,false,true,true,true,false
MEDIA,SA_ENABLED,string,false,false,false,false,true,false,false,true,true,true,true,false,false,true,true,false
LPATOM,SA_ENABLED,string,false,false,true,false,true,false,false,false,false,false,true,true,true,true,false,"Utils.SWITCH({NA::PKG::C_PACKAGE_TYPE@string},(''MBL'', ''false''),(''DT'', ''true''))"
IPU,SA_ENABLED,string,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false
MVS,IS_ENABLED,string,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
